"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.157165333E0,1.838751882E-1,-7.263879180E-1,6.319193542E-2
2.167175333E0,2.208204269E-1,-6.387001872E-1,-3.268798813E-2
2.177185333E0,3.561708331E-1,-6.229761839E-1,-1.134402603E-1
2.187195333E0,4.792442918E-1,-6.243599653E-1,-1.396905184E-1
2.197205333E0,5.138056874E-1,-7.003120184E-1,-8.414941281E-2
2.207215333E0,4.559317231E-1,-8.106645942E-1,2.891242877E-2
2.217225333E0,3.107399642E-1,-8.997301459E-1,1.487449706E-1
2.227235333E0,1.277097166E-1,-9.802417755E-1,2.376687080E-1
2.237245333E0,-4.223572556E-3,-1.002787232E0,3.177047968E-1
2.247255333E0,-6.161921844E-2,-1.003654122E0,3.883003891E-1
2.257265333E0,-8.735122532E-2,-1.025559783E0,4.513811171E-1
2.267275333E0,-1.006350741E-1,-1.072257757E0,4.935994148E-1
2.277285333E0,-1.061057374E-1,-1.114186406E0,4.975591898E-1
2.287294333E0,-8.024857193E-2,-1.098551512E0,4.968329668E-1
2.297304333E0,-3.883963078E-2,-1.059800625E0,4.979671240E-1
2.307314333E0,-1.674471423E-2,-1.028038383E0,4.906301200E-1
2.317324333E0,-2.985754982E-2,-1.011514664E0,4.874561429E-1
2.327334333E0,-8.258493990E-2,-1.024462581E0,5.000742078E-1
2.337344333E0,-1.649793983E-1,-1.097202301E0,5.121198297E-1
2.347354333E0,-2.435003072E-1,-1.175677419E0,5.418324471E-1
2.357364333E0,-2.925949097E-1,-1.198867321E0,5.860602856E-1
2.367374333E0,-3.194528818E-1,-1.163132429E0,6.033421159E-1
2.377384333E0,-3.346265256E-1,-1.093415499E0,6.233475804E-1
2.387394333E0,-3.667833805E-1,-1.054371715E0,6.529659033E-1
2.397404333E0,-4.258477986E-1,-1.084228635E0,7.289196253E-1
2.407414333E0,-5.165795684E-1,-1.146683693E0,8.225667477E-1
2.417424333E0,-6.532405019E-1,-1.203682661E0,8.660662174E-1
2.427434333E0,-7.902846336E-1,-1.230820298E0,8.248553872E-1
2.437444333E0,-8.509634137E-1,-1.223812819E0,6.907064915E-1
2.447454333E0,-7.968661189E-1,-1.138486266E0,4.883173704E-1
2.457464333E0,-6.656411886E-1,-9.872916341E-1,2.780031860E-1
2.467474333E0,-4.209062755E-1,-9.660686255E-1,1.333983094E-1
2.477484333E0,-2.559362650E-1,-9.131979346E-1,7.526411861E-2
2.487494333E0,-2.330762297E-1,-9.154866934E-1,5.536738038E-2
2.497504333E0,-3.023412526E-1,-9.177996516E-1,5.485239625E-2
2.507514333E0,-4.085987210E-1,-9.698727131E-1,5.029652640E-2
2.517524333E0,-5.018541217E-1,-1.019963026E0,2.090204135E-2
2.527534333E0,-5.087181330E-1,-1.044457436E0,-1.045081951E-2
2.537544333E0,-4.699188769E-1,-1.044979334E0,-1.443734579E-2
2.547554333E0,-4.238288701E-1,-1.027777195E0,4.598471522E-2
2.557564333E0,-3.915057480E-1,-9.847444892E-1,1.492216140E-1
2.567574333E0,-4.392330647E-1,-9.788181782E-1,2.523101866E-1
2.577584333E0,-5.482791066E-1,-1.005833268E0,3.508238792E-1
2.587594333E0,-6.940358281E-1,-1.016772985E0,4.379806221E-1
2.597604333E0,-8.338598013E-1,-1.038804412E0,4.228783548E-1
2.607614333E0,-8.837682009E-1,-9.981346726E-1,3.513801992E-1
2.617624333E0,-8.244693875E-1,-8.784815669E-1,2.758311927E-1
2.627634333E0,-7.185909152E-1,-8.223879337E-1,2.347926795E-1
2.637644333E0,-6.181306243E-1,-7.982704639E-1,2.677667737E-1
2.647654333E0,-5.989047289E-1,-8.150262833E-1,3.335806727E-1
2.657664333E0,-6.651248336E-1,-7.957900167E-1,4.253566265E-1
2.667674333E0,-7.626750469E-1,-7.480547428E-1,4.445766509E-1
2.677684333E0,-8.450500965E-1,-7.229670286E-1,3.995513022E-1
2.687694333E0,-8.212587237E-1,-6.819197536E-1,3.358708620E-1
2.697704333E0,-7.140444517E-1,-6.358515024E-1,3.513536155E-1
2.707714333E0,-6.483376026E-1,-6.815742254E-1,4.713332951E-1
2.717723333E0,-7.058554292E-1,-8.019956350E-1,6.240267158E-1
2.727733333E0,-9.054436684E-1,-8.296816349E-1,7.144908309E-1
2.737743333E0,-1.109994650E0,-7.499257922E-1,6.051558256E-1
2.747753333E0,-1.167828560E0,-6.064285636E-1,2.671668828E-1
2.757763333E0,-1.000806808E0,-4.509563148E-1,-9.609900415E-2
2.767773333E0,-6.856348515E-1,-3.144496083E-1,-3.128376901E-1
2.777783333E0,-3.558108807E-1,-2.511440516E-1,-3.744216561E-1
2.787793333E0,-2.061460465E-1,-3.418025970E-1,-2.654533684E-1
2.797803333E0,-3.100929260E-1,-4.864683747E-1,-1.195653677E-1
2.807813333E0,-5.538771152E-1,-5.817813277E-1,-1.362028997E-3
2.817823333E0,-7.798436284E-1,-5.793101788E-1,7.076637447E-2
2.827833333E0,-8.974818587E-1,-5.658899546E-1,6.369328499E-2
2.837843333E0,-9.057507515E-1,-5.480186343E-1,5.984552577E-2
2.847853333E0,-8.903672695E-1,-5.350202322E-1,8.844041824E-2
2.857863333E0,-9.223158360E-1,-5.261074305E-1,1.658053845E-1
2.867873333E0,-1.038461089E0,-5.019844770E-1,2.362345457E-1
2.877883333E0,-1.158758879E0,-4.684870243E-1,2.407142818E-1
2.887893333E0,-1.189568758E0,-3.756550848E-1,1.848813742E-1
2.897903333E0,-1.116650581E0,-3.113124669E-1,1.242163926E-1
2.907913333E0,-9.746988416E-1,-2.928327918E-1,7.166557014E-2
2.917923333E0,-8.403247595E-1,-2.421004772E-1,1.056552678E-2
2.927933333E0,-7.697462440E-1,-1.755376905E-1,-3.554284573E-2
2.937943333E0,-7.289191484E-1,-4.720251635E-2,-5.512952060E-2
2.947953333E0,-6.943587661E-1,6.455864012E-2,-5.902172625E-2
2.957963333E0,-6.864138246E-1,1.025481075E-1,-5.770911276E-2
2.967973333E0,-6.816039085E-1,8.553423733E-2,-5.319958180E-2
2.977983333E0,-6.803714037E-1,7.296944410E-2,-4.120337218E-2
2.987993333E0,-7.041003704E-1,8.840727061E-2,-3.375423374E-3
2.998003458E0,-7.310127020E-1,1.168784127E-1,5.962930992E-2
3.008013458E0,-7.632713318E-1,1.550399214E-1,1.740019619E-1
3.018023458E0,-8.143296838E-1,1.630088985E-1,2.799940705E-1
3.028033458E0,-8.784934878E-1,1.489977390E-1,3.433812857E-1
3.038043458E0,-8.865711093E-1,1.447604895E-1,3.770176768E-1
3.048053458E0,-8.185217381E-1,1.560064852E-1,3.289188743E-1
3.058063458E0,-7.184340954E-1,2.689457834E-1,2.087240964E-1
3.068073458E0,-5.650677085E-1,4.089785218E-1,1.060078368E-1
3.078083458E0,-3.984634578E-1,5.144681334E-1,4.726699740E-2
3.088093458E0,-2.969075441E-1,5.592976809E-1,4.006820545E-2
3.098103458E0,-2.707428038E-1,5.583137274E-1,3.240634501E-2
3.108113458E0,-2.801608145E-1,5.565041304E-1,1.742739417E-2
3.118123458E0,-2.994790971E-1,5.397441387E-1,1.990603749E-3
3.128133458E0,-2.990889549E-1,5.399523973E-1,-2.648577839E-2
3.138143458E0,-2.568227947E-1,5.370792747E-1,-4.964144155E-2
3.148153458E0,-2.137357593E-1,5.341332555E-1,-2.947545610E-2
3.158163458E0,-1.969735026E-1,4.918904305E-1,1.933957636E-2
3.168173458E0,-2.134664655E-1,4.614494145E-1,4.662712291E-2
3.178183458E0,-2.224966884E-1,5.095788240E-1,8.128530532E-2
3.188193458E0,-1.912319809E-1,5.782310963E-1,1.185463890E-1
3.198203458E0,-1.453718096E-1,6.289368868E-1,1.208131462E-1
3.208213458E0,-9.818723798E-2,6.670941114E-1,8.094429970E-2
