"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.433437458E0,-1.145268402E0,1.079779587E1,1.781894531E0
3.443447458E0,-9.720785522E-1,1.095392120E1,1.834734650E0
3.453457458E0,-8.518785095E-1,1.092218719E1,1.948348389E0
3.463467458E0,-5.774990845E-1,1.082893112E1,2.013762360E0
3.473477458E0,-1.480421448E-1,1.079495178E1,2.290985870E0
3.483487458E0,5.628295898E-2,1.066547104E1,2.671195221E0
3.493497458E0,2.607577515E-1,1.071232361E1,2.965632935E0
3.503507458E0,4.761598206E-1,1.080707657E1,2.992277527E0
3.513517458E0,5.990542603E-1,1.082414108E1,2.680625610E0
3.523527458E0,6.315367126E-1,1.079435303E1,2.134561157E0
3.533537458E0,6.420149231E-1,1.076202026E1,1.775008850E0
3.543547458E0,5.291496277E-1,1.081411194E1,1.812730408E0
3.553557458E0,3.622467041E-1,1.074510544E1,2.074535980E0
3.563567458E0,3.460803223E-1,1.077070221E1,2.496807861E0
3.573577458E0,1.582209778E-1,1.082249451E1,2.691403198E0
3.583587458E0,1.188528442E-1,1.080977097E1,2.240540771E0
3.593597458E0,2.990780640E-1,1.087084396E1,1.514999542E0
3.603607458E0,4.502636719E-1,1.089688980E1,1.088835754E0
3.613617458E0,4.014651489E-1,1.079450272E1,1.156644745E0
3.623627458E0,4.502636719E-1,1.057700500E1,1.424587555E0
3.633637458E0,8.583151245E-1,1.055036041E1,1.634451141E0
3.643647458E0,1.183139648E0,1.043689636E1,1.848206635E0
3.653657458E0,1.497785339E0,1.023616379E1,2.155367889E0
3.663667458E0,1.482068024E0,1.001088226E1,2.472558289E0
3.673677458E0,1.384620667E0,9.813742218E0,2.665956116E0
3.683687458E0,1.445244598E0,9.661508789E0,2.353106689E0
3.693697458E0,1.545536041E0,9.551487579E0,1.784439240E0
3.703707458E0,1.591939545E0,9.513017578E0,1.468296661E0
3.713717458E0,1.560205536E0,9.476792908E0,1.423988800E0
3.723727458E0,1.334474945E0,9.384135590E0,1.448238373E0
3.733737458E0,1.074765015E0,9.305549011E0,1.229992218E0
3.743747458E0,9.000782776E-1,9.175918579E0,8.075706482E-1
3.753757458E0,6.400689697E-1,9.015751648E0,5.751040649E-1
3.763767458E0,4.767585754E-1,8.857530670E0,3.854484558E-1
3.773777458E0,5.034031677E-1,8.689879303E0,3.966751099E-2
3.783787458E0,7.297325134E-1,8.554560699E0,-2.770738220E-1
3.793797458E0,1.076261902E0,8.433163147E0,-3.399430847E-1
3.803807458E0,1.316063232E0,8.312963104E0,-3.267704773E-1
3.813817458E0,1.454824677E0,8.111931152E0,-3.653901672E-1
3.823827458E0,1.359323273E0,7.941735077E0,1.269360352E-1
3.833837458E0,1.407523041E0,7.940238190E0,8.384065247E-1
3.843847458E0,1.883233795E0,7.883506165E0,7.470964050E-1
3.853857458E0,2.478994904E0,7.952213287E0,6.068380737E-1
3.863867458E0,2.883453827E0,8.211474152E0,9.081614685E-1
3.873877458E0,2.960393829E0,8.567284241E0,1.302740936E0
3.883887458E0,2.630180511E0,8.798403625E0,1.403481445E0
3.893897458E0,2.121987305E0,9.057215424E0,1.213227081E0
3.903907458E0,1.342258759E0,9.158255310E0,7.708969116E-1
3.913917458E0,6.129753113E-1,9.264833679E0,4.284091187E-1
3.923927458E0,2.275268555E-2,9.463470612E0,2.112107849E-1
3.933937458E0,-2.064207458E-1,9.616302795E0,-1.823208618E-1
3.943947458E0,-4.221221924E-2,9.801467743E0,-5.050497437E-1
3.953957458E0,2.140548706E-1,9.881251831E0,-5.327421570E-1
3.963967458E0,5.682183838E-1,9.897717590E0,-4.861889648E-1
3.973977458E0,7.099736023E-1,9.817334747E0,-2.921923828E-1
3.983987458E0,7.384144592E-1,9.772577820E0,7.499404907E-2
3.993997333E0,7.385641479E-1,9.768236847E0,4.113446045E-1
4.004007333E0,6.316864014E-1,9.839638367E0,8.068222046E-1
4.014017333E0,4.802014160E-1,9.955048370E0,9.547146606E-1
4.024027333E0,3.532653809E-1,1.006926086E1,6.870712280E-1
4.034037333E0,2.390528870E-1,1.012030472E1,1.059796143E-1
4.044047333E0,1.776805115E-1,1.008767258E1,-3.231779480E-1
