"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.703154042E0,-2.426641434E-2,-7.330308110E-2,1.586378515E-1
2.713164042E0,7.570413500E-2,5.030222237E-2,5.651535094E-2
2.723174042E0,1.591063440E-1,1.196264327E-1,-1.599906385E-2
2.733184042E0,2.146713883E-1,1.221567467E-1,-4.258749634E-2
2.743194042E0,2.291882783E-1,7.504702359E-2,-3.306616470E-2
2.753204042E0,1.945402324E-1,-1.365243457E-2,-1.812991872E-2
2.763214042E0,1.195376217E-1,-1.170150489E-1,5.021206569E-3
2.773224042E0,1.000217348E-1,-1.145682186E-1,1.666554622E-2
2.783234042E0,9.923690557E-2,-1.392376125E-1,3.074104432E-3
2.793244042E0,9.576763213E-2,-1.519030482E-1,-3.978732601E-2
2.803254042E0,1.280001253E-1,-1.382112056E-1,-9.599866718E-2
2.813264042E0,1.656644046E-1,-5.617046729E-2,-1.383543760E-1
2.823273042E0,2.043851614E-1,6.079610437E-2,-1.656307280E-1
2.833283042E0,2.228507102E-1,1.656846404E-1,-1.953997910E-1
2.843293042E0,2.492266595E-1,2.741035223E-1,-2.242109329E-1
2.853303042E0,2.858866751E-1,2.752013206E-1,-2.271189988E-1
2.863313042E0,2.858845294E-1,1.317762583E-1,-1.995949596E-1
2.873323042E0,2.492219359E-1,-6.824188679E-2,-1.424009353E-1
2.883333042E0,1.819536835E-1,-1.498552561E-1,-6.310610473E-2
2.893343042E0,9.848961979E-2,-2.219914347E-1,1.553495601E-2
2.903353042E0,1.177709922E-2,-2.956419587E-1,9.511420876E-2
2.913363042E0,-5.450181663E-2,-3.289433718E-1,1.709232777E-1
2.923373042E0,-1.197343543E-1,-3.978816867E-1,2.280294448E-1
2.933383042E0,-1.647971421E-1,-4.843727052E-1,2.795436680E-1
2.943393042E0,-1.530552655E-1,-6.109924316E-1,2.937465906E-1
2.953403042E0,-1.067093685E-1,-7.589489818E-1,2.489795089E-1
2.963413042E0,-4.648597911E-2,-8.944375515E-1,1.360857189E-1
2.973423042E0,3.683693707E-2,-9.709675312E-1,-2.712346427E-2
2.983433042E0,1.248853058E-1,-9.377462268E-1,-1.772032380E-1
2.993443042E0,2.082145214E-1,-8.535633087E-1,-2.577354610E-1
3.003453042E0,2.997412384E-1,-7.971112132E-1,-2.640069425E-1
3.013463042E0,3.418213129E-1,-7.790762186E-1,-2.314655483E-1
3.023473042E0,2.967683375E-1,-8.717334867E-1,-1.708685160E-1
3.033483042E0,1.887774765E-1,-1.044570684E0,-5.584654957E-2
3.043492042E0,4.442243651E-2,-1.256295443E0,1.035391167E-1
3.053502042E0,-8.920858800E-2,-1.482120633E0,2.290492058E-1
3.063512042E0,-1.671417356E-1,-1.654600978E0,2.399711013E-1
3.073522042E0,-2.023484856E-1,-1.685524821E0,1.974581182E-1
3.083532042E0,-1.905035377E-1,-1.547339320E0,1.131179407E-1
3.093542042E0,-1.004370898E-1,-1.361687660E0,-4.355626181E-3
3.103552042E0,1.542080287E-2,-1.200921178E0,-8.698978275E-2
3.113562042E0,8.498638868E-2,-1.155574918E0,-1.296174973E-1
3.123572042E0,7.257312536E-2,-1.253013492E0,-1.474465579E-1
3.133582042E0,4.546345677E-3,-1.464580894E0,-1.328056157E-1
3.143592042E0,-8.599953353E-2,-1.602026701E0,-8.701310307E-2
3.153602042E0,-1.905094534E-1,-1.600896001E0,-1.481033675E-2
3.163612042E0,-2.973275185E-1,-1.495605588E0,2.337224316E-3
3.173622042E0,-3.390240371E-1,-1.393894672E0,-1.238733158E-2
3.183632042E0,-3.172076941E-1,-1.398603082E0,1.588665135E-2
3.193642042E0,-2.816835046E-1,-1.525409579E0,1.046401262E-1
3.203652042E0,-2.783947885E-1,-1.712616205E0,2.166023552E-1
3.213662042E0,-3.136984408E-1,-1.789200664E0,3.135165870E-1
3.223672042E0,-4.019494653E-1,-1.658200741E0,4.311697185E-1
3.233682042E0,-5.447763205E-1,-1.446037769E0,5.275449157E-1
3.243692042E0,-7.265160680E-1,-1.282671690E0,5.599484444E-1
3.253701833E0,-8.557670712E-1,-1.198927283E0,5.480562449E-1
3.263711833E0,-8.472324610E-1,-1.145281076E0,4.926614463E-1
3.273721833E0,-7.156254053E-1,-1.072570562E0,3.454077244E-1
3.283730833E0,-4.908106327E-1,-8.805670142E-1,1.536380351E-1
3.293740833E0,-2.407675236E-1,-6.061897278E-1,-4.070074484E-2
3.303750833E0,1.186518930E-3,-4.868673086E-1,-1.939259917E-1
3.313760833E0,1.343120784E-1,-4.822082520E-1,-3.411837816E-1
3.323770833E0,2.108553201E-1,-5.494791865E-1,-4.255657792E-1
3.333780833E0,2.692987025E-1,-6.164710522E-1,-4.236621261E-1
3.343790833E0,2.829940021E-1,-6.881340146E-1,-4.081808925E-1
3.353800833E0,2.222382575E-1,-7.339679599E-1,-4.006836116E-1
3.363810833E0,1.074022129E-1,-8.041712642E-1,-3.560511768E-1
3.373820833E0,-4.203657061E-2,-8.542813659E-1,-2.469774187E-1
3.383830833E0,-2.013513893E-1,-8.100366592E-1,-6.597834080E-2
3.393840833E0,-3.195850551E-1,-7.536422014E-1,8.843170851E-2
3.403850833E0,-3.877345324E-1,-7.178536057E-1,1.472731829E-1
3.413860833E0,-3.881431520E-1,-6.706887484E-1,1.212496385E-1
3.423870833E0,-3.134697080E-1,-6.271476746E-1,3.435654938E-2
3.433880833E0,-1.820956320E-1,-5.549436808E-1,-8.434665203E-2
3.443890833E0,-5.706155673E-2,-4.120096862E-1,-1.993555278E-1
3.453900833E0,5.820294097E-2,-2.440269887E-1,-2.936813235E-1
3.463910833E0,1.506247520E-1,-9.272190928E-2,-3.206154704E-1
3.473920833E0,1.924193650E-1,1.265263744E-2,-2.959501147E-1
3.483930833E0,1.732139736E-1,3.113550693E-2,-2.511762381E-1
3.493940833E0,6.642597914E-2,-1.755301654E-2,-1.834250242E-1
3.503950833E0,-8.476327360E-2,-9.569256008E-2,-9.863743931E-2
3.513960833E0,-1.992344707E-1,-1.750895083E-1,-4.403287545E-2
3.523970833E0,-2.463561893E-1,-1.803697646E-1,-1.277775038E-2
3.533980833E0,-2.298347354E-1,-1.244268194E-1,-6.756907329E-3
3.543989833E0,-1.986445934E-1,-4.807638749E-2,-1.616239361E-2
3.553999833E0,-1.740345657E-1,-1.223523077E-2,-3.840326518E-2
3.564009833E0,-1.693727076E-1,1.103440672E-2,-4.397513345E-2
3.574019833E0,-1.828248501E-1,1.801158674E-2,-2.797335759E-2
3.584029833E0,-2.133071274E-1,-1.589497924E-2,-1.876121573E-2
3.594039833E0,-2.433528602E-1,-6.687466055E-2,-1.508901082E-2
3.604049833E0,-2.638757229E-1,-1.035032496E-1,5.757681094E-3
3.614059833E0,-2.714351118E-1,-7.681310922E-2,2.330913395E-2
3.624069833E0,-2.590671182E-1,-2.456851304E-3,6.300994009E-2
3.634079833E0,-2.461763769E-1,8.612172306E-2,1.051832065E-1
3.644089833E0,-2.520582378E-1,1.480921507E-1,1.446621865E-1
3.654099833E0,-2.791747451E-1,1.750932932E-1,1.713900417E-1
3.664109833E0,-3.064979911E-1,1.863225102E-1,1.597520262E-1
3.674119833E0,-3.342739940E-1,1.827479899E-1,1.331883073E-1
3.684129833E0,-3.490292430E-1,1.153849363E-1,1.027672887E-1
3.694139833E0,-3.334574699E-1,1.860832237E-2,6.968043745E-2
3.704149833E0,-2.888583243E-1,-7.105924189E-2,3.909189999E-2
3.714159833E0,-2.331454903E-1,-1.112590954E-1,8.350806311E-4
3.724169833E0,-1.551247239E-1,-2.771733515E-2,-3.379400447E-2
3.734179833E0,-2.673803084E-2,1.324942410E-1,-5.095363036E-2
3.744189833E0,6.793867797E-2,2.589576244E-1,-7.355827838E-2
3.754199833E0,8.102225512E-2,2.825337946E-1,-7.594873011E-2
3.764209833E0,2.984029427E-2,2.203921378E-1,-6.988737732E-2
