"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.324097625E0,-2.762400558E1,2.583806946E1,-5.831872559E-1
2.334107625E0,-2.189362198E1,1.679088318E1,-2.240540771E0
2.344117625E0,-1.379261810E1,5.229525146E0,-1.967807922E0
2.354127625E0,-3.079396362E0,-8.072862396E0,2.535726929E-1
2.364137625E0,1.043884232E1,-2.112946106E1,2.405797119E0
2.374146625E0,2.723137207E1,-2.915277649E1,6.665039978E0
2.384156625E0,4.189143631E1,-3.059906891E1,1.419632858E1
2.394166625E0,4.668102631E1,-2.911685120E1,1.631906433E1
2.404176625E0,4.058839600E1,-2.676928299E1,1.239811798E1
2.414186625E0,2.365695511E1,-2.314831284E1,1.178604080E1
2.424195625E0,3.971241760E0,-1.638268204E1,1.435993835E1
2.434205625E0,-1.156944122E1,-4.218527527E0,1.282907181E1
2.444215625E0,-2.353540787E1,8.630602570E0,5.313500519E0
2.454225625E0,-3.156965057E1,1.928200287E1,-9.372010803E-1
2.464235625E0,-3.496010010E1,2.706042755E1,-1.291813660E0
2.474244625E0,-3.497866150E1,3.047662354E1,3.469784546E0
2.484254625E0,-3.141367493E1,2.996094589E1,7.029681702E0
2.494264625E0,-2.607757141E1,2.531805084E1,6.404132538E0
2.504274625E0,-1.976519806E1,1.663954788E1,5.650300140E0
2.514284625E0,-1.052251831E1,5.581143951E0,6.354286194E0
2.524294625E0,1.202000427E0,-7.454049225E0,7.359146576E0
2.534303625E0,1.603136261E1,-1.821517136E1,7.376809845E0
2.544313625E0,3.114872589E1,-2.380125504E1,8.964258728E0
2.554323625E0,4.029096451E1,-2.461690887E1,1.321526871E1
2.564333625E0,4.076218460E1,-2.269370819E1,1.363349899E1
2.574343625E0,3.194252518E1,-2.078547638E1,1.126617188E1
2.584352625E0,1.731614090E1,-1.655033340E1,1.125105331E1
2.594362625E0,-8.382568359E-1,-1.040246796E1,1.176119247E1
2.604372625E0,-1.719159988E1,-7.033872986E-1,9.078471222E0
2.614382625E0,-2.716715561E1,1.043225601E1,3.482807465E0
2.624392625E0,-3.015045181E1,1.864073639E1,-2.169438629E0
2.634401625E0,-2.954720627E1,2.226559845E1,-2.922223206E0
2.644411625E0,-2.492392044E1,2.188494003E1,1.038390656E0
2.654421625E0,-1.695239731E1,1.804272995E1,4.978197784E0
2.664431625E0,-8.963959351E0,1.212179260E1,8.330476685E0
2.674441625E0,-1.256636810E0,6.211782532E0,1.161928757E1
2.684450625E0,5.432952118E0,5.867797852E-1,1.360550720E1
2.694460625E0,1.118369339E1,-4.082759857E0,1.417731812E1
2.704470625E0,1.553738983E1,-6.274053040E0,1.376762009E1
2.714480625E0,1.760264511E1,-6.505172424E0,1.305195831E1
2.724490625E0,1.764725235E1,-5.817801819E0,1.221759338E1
2.734500625E0,1.405172928E1,-4.987179108E0,1.191177933E1
2.744509625E0,9.412726135E0,-3.532803497E0,1.190968369E1
2.754519625E0,6.685547333E0,-1.499731293E0,1.048135391E1
2.764529625E0,4.098028107E0,8.577163696E-1,7.596852264E0
2.774539625E0,-2.496807861E-1,3.098556519E0,4.818629608E0
2.784549625E0,-4.861590271E0,5.380112000E0,2.749931488E0
2.794558625E0,-1.101424576E1,6.223009186E0,4.151916046E0
2.804568625E0,-1.639061554E1,7.937543793E0,6.744824066E0
2.814578625E0,-1.870300690E1,1.022703278E1,5.257666626E0
2.824588625E0,-1.122380997E1,1.194545929E1,4.640200653E0
2.834598625E0,-2.111359406E0,1.190713898E1,5.156027985E0
2.844607625E0,-1.740131378E0,8.148604889E0,8.714727631E0
2.854617625E0,-6.653663635E-1,6.749464417E0,1.012719040E1
2.864627625E0,-8.652008057E-1,6.193969574E0,1.117261642E1
2.874637625E0,-9.280700684E-1,5.568869476E0,1.121482864E1
2.884647625E0,-8.617579651E-1,5.284011841E0,9.883497162E0
2.894656625E0,-1.617087250E0,5.110073547E0,7.532486115E0
2.904666625E0,-2.643502808E0,4.532724152E0,6.001918945E0
2.914676625E0,-2.868634644E0,4.255500641E0,5.469476166E0
2.924686625E0,-2.695145416E0,4.387825470E0,5.960006104E0
2.934696625E0,-2.678529968E0,4.801864471E0,6.536157990E0
2.944706625E0,-2.697690125E0,5.309009857E0,6.762187958E0
2.954715625E0,-2.648442535E0,5.880222015E0,6.879094849E0
2.964725625E0,-2.756667480E0,6.216123505E0,6.956334229E0
2.974735625E0,-3.009042664E0,6.255042572E0,6.987020416E0
2.984745625E0,-2.644850006E0,6.209387512E0,6.873855743E0
2.994755625E0,-2.332898712E0,5.949677582E0,6.711593170E0
3.004764625E0,-2.517165527E0,5.625451813E0,6.588399353E0
3.014774625E0,-2.493365021E0,5.363496552E0,6.763984222E0
3.024784625E0,-2.056273956E0,5.162165222E0,7.628885651E0
3.034794625E0,-1.554517365E0,5.225633240E0,8.504265289E0
3.044804625E0,-1.189576263E0,5.282814331E0,8.947643280E0
3.054813625E0,-1.160087585E0,5.585634613E0,9.157806244E0
3.064823625E0,-1.532662811E0,6.194718018E0,8.889713745E0
3.074833625E0,-1.874102783E0,6.519991608E0,8.088879089E0
3.084843625E0,-2.119891663E0,6.533164215E0,7.366631012E0
3.094853625E0,-2.085014191E0,6.435118103E0,7.077582092E0
3.104863625E0,-1.854044495E0,6.204298096E0,7.393724670E0
3.114872625E0,-1.598226471E0,6.013744354E0,8.337961121E0
3.124882625E0,-1.213676147E0,6.086193695E0,8.707093506E0
3.134892625E0,-1.283880157E0,6.164031830E0,7.912994843E0
3.144902625E0,-1.863474884E0,6.371949463E0,6.116131439E0
3.154912625E0,-3.013832703E0,6.310277710E0,2.745141449E0
3.164921625E0,-2.972668304E0,6.730753326E0,3.552412720E0
3.174931625E0,-1.240021362E0,6.709048462E0,5.894891510E0
3.184941625E0,-4.502636719E-1,5.709427185E0,6.754254456E0
